,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Individual Asset,,,,,Portfolios,,,,,,Covariance Matrix,,,,,,,,,,,,,,,
,,,E(r),stdev,sharp,,,equal weight,Max return,min risk,max sharpe,,,AAPL,ADBE,AMZN,AXP,BRS,FE,EW,GOOG,JNJ,MA,NFLX,NVDA,REGN,SHW,WMT
,,AAPL,7.07535538583714%,0.314704112066257,0.224825641437679,,Constraint Variable,,stdev<=,E(r)>=,,,AAPL,0.099005410204434,0.0452733960533388,0.0549543084471259,0.0519063351420711,0.0434973938468452,0.0217692733017282,0.024268288451963,0.0482210693280115,0.0170094205113633,0.0476202161211029,0.0448772124587927,0.0633764035344269,0.0467598522190582,0.0285212082017951,0.0177246752490036
,,ADBE,7.79257930655571%,0.32802576604585,0.23755997586685,,Value of constraint,,0.162766120684241,9.02970249245705%,,,ADBE,0.0452733960533388,0.107564759117683,0.0586169906904662,0.0635632943249782,0.0498548781571175,0.0292565411442142,0.0318274712354662,0.0487457424511481,0.0239051296715091,0.0536618402652608,0.0508203127020219,0.0756134113743542,0.0551590543773285,0.0360868126002816,0.0221871829334619
,,AMZN,7.71075485572172%,0.394064263026084,0.195672522966421,,AAPL,6.66666666666667%,6.7076514307876%,0%,6.69602106076177%,,AMZN,0.0549543084471259,0.0586169906904662,0.155234481270208,0.0603388089365627,0.045155255401822,0.0228318201228485,0.0285977468896997,0.0604935710073349,0.0221816420135092,0.0582073627090394,0.0758954731366279,0.0687141797172245,0.0574761903855746,0.03728854802784,0.0206440622626963
,,AXP,9.02970249245705%,0.373957871684208,0.241463094540293,,ADBE,6.66666666666667%,3.26729532951239%,0%,1.13334898156958%,,AXP,0.0519063351420711,0.0635632943249782,0.0603388089365627,0.139797514823204,0.0725846609016209,0.035723024609241,0.0321266885269261,0.0516142199523293,0.0274737373366185,0.071160877612862,0.0488159192969383,0.0733488803150916,0.0622909477329192,0.0476579670631576,0.0266584090380809
,,BRS,8.3623511743415%,0.53057745060785,0.157608491743501,,AMZN,6.66666666666667%,1.34341755683667%,0%,0.388618977608054%,,BRS,0.0434973938468452,0.0498548781571175,0.045155255401822,0.0725846609016209,0.281417868637666,0.0359822721935463,0.0309914779815543,0.0418071303553638,0.0240882044778271,0.0552348914789453,0.040826510042213,0.0693092717489426,0.0577315583193574,0.0347549588470896,0.0207802081342347
,,FE,5.93258962436646%,0.251316480401488,0.236060508840842,,AXP,6.66666666666667%,5.03530000568245%,99.9999962403839%,0.509384450900887%,,FE,0.0217692733017282,0.0292565411442142,0.0228318201228485,0.035723024609241,0.0359822721935463,0.0631387573411021,0.0174341888757761,0.0218800439959513,0.0184218179492207,0.0280384989705784,0.0197775046634009,0.0318500699814038,0.0242729127628908,0.0187803071204092,0.0168663178056392
,,EW,5.804292952543%,0.302738024947118,0.191726591119728,,BRS,6.66666666666667%,2.29538242161271%,0%,1.39007127666541%,,EW,0.024268288451963,0.0318274712354662,0.0285977468896997,0.0321266885269261,0.0309914779815543,0.0174341888757761,0.0916195256179623,0.0240951653927139,0.0182669608510068,0.0300824849356776,0.0313909689535132,0.0362127753359811,0.0388882183014454,0.0224932898028845,0.015689285609649
,,GOOG,6.9981041619697%,0.287283507238247,0.24359575073574,,FE,6.66666666666667%,9.20127174414864%,0%,9.39526647457943%,,GOOG,0.0482210693280115,0.0487457424511481,0.0604935710073349,0.0516142199523293,0.0418071303553638,0.0218800439959513,0.0240951653927139,0.0825040903824576,0.0195207319407895,0.048441569665502,0.0442949895025214,0.0592295010172097,0.0472670210375884,0.0292339296929097,0.0180536390959537
